combination,threshold,weight,denominator,numerator_mass,declared_mass,settled_mass,share_of_declared,share_of_settled,abstained_share,eligible_for_extrema
code_order_maximum,2,onet_importance,screen_and_mixed,28180.180000000008,38601.74000000001,38601.74000000001,0.7300235688857548,0.7300235688857548,0.0,True
code_order_maximum,2,russian_employment,whole_corpus,0.36894246925483726,0.8923385417284052,0.8923385417284052,0.4134557143976077,0.4134557143976077,0.0,True
code_order_maximum,2,russian_employment,screen_only,0.30635850387358154,0.39106560554249964,0.39106560554249964,0.7833941403478593,0.7833941403478593,0.0,True
code_order_maximum,2,russian_employment,screen_and_mixed,0.33302795877338637,0.4527023914672119,0.4527023914672119,0.7356443549901298,0.7356443549901298,0.0,True
code_order_maximum,3,one_task_one_vote,whole_corpus,5451.0,18796.0,18796.0,0.29000851244945736,0.29000851244945736,0.0,True
code_order_maximum,3,one_task_one_vote,screen_only,4699.0,8990.0,8990.0,0.5226918798665183,0.5226918798665183,0.0,True
code_order_maximum,3,one_task_one_vote,screen_and_mixed,5000.0,10331.0,10331.0,0.4839802536056529,0.4839802536056529,0.0,True
code_order_maximum,3,onet_importance,whole_corpus,19793.590000000022,71681.99999999988,71681.99999999988,0.2761305488128129,0.2761305488128129,0.0,True
code_order_maximum,3,onet_importance,screen_only,16965.370000000014,33262.049999999996,33262.049999999996,0.5100518458723986,0.5100518458723986,0.0,True
code_order_maximum,3,onet_importance,screen_and_mixed,18145.100000000013,38601.74000000001,38601.74000000001,0.47005912168726094,0.47005912168726094,0.0,True
code_order_maximum,3,russian_employment,whole_corpus,0.24321837743326433,0.8923385417284052,0.8923385417284052,0.2725628963220228,0.2725628963220228,0.0,True
code_order_maximum,3,russian_employment,screen_only,0.2077325196173668,0.39106560554249964,0.39106560554249964,0.5311960874932816,0.5311960874932816,0.0,True
code_order_maximum,3,russian_employment,screen_and_mixed,0.22261110305316298,0.4527023914672119,0.4527023914672119,0.49173829705577365,0.49173829705577365,0.0,True
code_order_maximum,4,one_task_one_vote,whole_corpus,841.0,18796.0,18796.0,0.04474356246009789,0.04474356246009789,0.0,True
code_order_maximum,4,one_task_one_vote,screen_only,774.0,8990.0,8990.0,0.08609566184649611,0.08609566184649611,0.0,True
code_order_maximum,4,one_task_one_vote,screen_and_mixed,808.0,10331.0,10331.0,0.0782112089826735,0.0782112089826735,0.0,True
code_order_maximum,4,onet_importance,whole_corpus,3045.100000000001,71681.99999999988,71681.99999999988,0.04248067855249583,0.04248067855249583,0.0,True
code_order_maximum,4,onet_importance,screen_only,2789.7900000000013,33262.049999999996,33262.049999999996,0.08387306254425093,0.08387306254425093,0.0,True
code_order_maximum,4,onet_importance,screen_and_mixed,2920.7800000000016,38601.74000000001,38601.74000000001,0.07566446486609155,0.07566446486609155,0.0,True
code_order_maximum,4,russian_employment,whole_corpus,0.039354139681357314,0.8923385417284052,0.8923385417284052,0.0441022524983968,0.0441022524983968,0.0,True
code_order_maximum,4,russian_employment,screen_only,0.03609337365567121,0.39106560554249964,0.39106560554249964,0.09229493247201129,0.09229493247201129,0.0,True
code_order_maximum,4,russian_employment,screen_and_mixed,0.03785560480015757,0.4527023914672119,0.4527023914672119,0.0836213934666156,0.0836213934666156,0.0,True
code_order_minimum,2,one_task_one_vote,whole_corpus,4359.0,18796.0,18796.0,0.23191104490317088,0.23191104490317088,0.0,True
code_order_minimum,2,one_task_one_vote,screen_only,4109.0,8990.0,8990.0,0.45706340378197996,0.45706340378197996,0.0,True
code_order_minimum,2,one_task_one_vote,screen_and_mixed,4228.0,10331.0,10331.0,0.4092537024489401,0.4092537024489401,0.0,True
code_order_minimum,2,onet_importance,whole_corpus,15758.270000000004,71681.99999999988,71681.99999999988,0.2198358025724733,0.2198358025724733,0.0,True
code_order_minimum,2,onet_importance,screen_only,14821.960000000005,33262.049999999996,33262.049999999996,0.4456117407075032,0.4456117407075032,0.0,True
code_order_minimum,2,onet_importance,screen_and_mixed,15290.160000000003,38601.74000000001,38601.74000000001,0.3961002794174563,0.3961002794174563,0.0,True
code_order_minimum,2,russian_employment,whole_corpus,0.1878483357766081,0.8923385417284052,0.8923385417284052,0.21051240867928595,0.21051240867928595,0.0,True
code_order_minimum,2,russian_employment,screen_only,0.1765799819805849,0.39106560554249964,0.39106560554249964,0.4515354443805588,0.4515354443805588,0.0,True
code_order_minimum,2,russian_employment,screen_and_mixed,0.18212188027653892,0.4527023914672119,0.4527023914672119,0.40229935540274153,0.40229935540274153,0.0,True
code_order_minimum,3,one_task_one_vote,whole_corpus,1085.0,18796.0,18796.0,0.0577250478825282,0.0577250478825282,0.0,True
code_order_minimum,3,one_task_one_vote,screen_only,1025.0,8990.0,8990.0,0.11401557285873193,0.11401557285873193,0.0,True
code_order_minimum,3,one_task_one_vote,screen_and_mixed,1053.0,10331.0,10331.0,0.1019262414093505,0.1019262414093505,0.0,True
code_order_minimum,3,onet_importance,whole_corpus,3956.4500000000044,71681.99999999988,71681.99999999988,0.05519447002036788,0.05519447002036788,0.0,True
